id,key,value,type
235331109,wheelchair,yes,regular
235331113,crossing,uncontrolled,regular
235331113,highway,crossing,regular
235331113,tactile_paving,no,regular
235331113,wheelchair,yes,regular
235331326,crossing,uncontrolled,regular
235331326,highway,crossing,regular
235331326,tactile_paving,yes,regular
235331326,wheelchair,yes,regular
235331332,crossing,unmarked,regular
235331332,highway,crossing,regular
235331332,tactile_paving,no,regular
235331332,wheelchair,yes,regular
239937289,crossing,uncontrolled,regular
239937289,crossing_ref,zebra,regular
239937289,highway,crossing,regular
239937289,tactile_paving,yes,regular
239937329,highway,traffic_signals,regular
243510172,highway,traffic_signals,regular
243997039,name,San Bernardo,regular
243997039,public_transport,station,regular
243997039,railway,station,regular
243999095,crossing,uncontrolled,regular
243999095,highway,crossing,regular
243999095,wheelchair,yes,regular
244000093,highway,traffic_signals,regular
244000094,bicycle,yes,regular
244000094,crossing,traffic_signals,regular
244000094,highway,crossing,regular
244000099,bicycle,yes,regular
244000099,crossing,traffic_signals,regular
244000099,highway,crossing,regular
244000100,highway,traffic_signals,regular
244000107,bicycle,yes,regular
244000107,crossing,traffic_signals,regular
244000107,highway,crossing,regular
244000763,bicycle,yes,regular
244000763,crossing,traffic_signals,regular
244000763,highway,crossing,regular
244000772,bicycle,yes,regular
244000772,crossing,traffic_signals,regular
244000772,highway,crossing,regular
244000775,crossing,traffic_signals,regular
244000775,highway,crossing,regular
244000777,bicycle,yes,regular
244000777,crossing,traffic_signals,regular
244000777,highway,crossing,regular
244000807,highway,traffic_signals,regular
244000884,highway,traffic_signals,regular
244010167,bicycle,yes,regular
244010167,crossing,traffic_signals,regular
244010167,highway,crossing,regular
244010489,highway,traffic_signals,regular
244015573,crossing,uncontrolled,regular
244015573,highway,crossing,regular
244015573,wheelchair,no,regular
244015673,crossing,unmarked,regular
244015673,highway,crossing,regular
244015673,tactile_paving,no,regular
244015673,wheelchair,no,regular
244015674,highway,traffic_signals,regular
244015705,crossing,unmarked,regular
244015705,highway,crossing,regular
244015705,tactile_paving,no,regular
244015705,wheelchair,no,regular
244016100,crossing,traffic_signals,regular
244016100,highway,crossing,regular
244016100,tactile_paving,yes,regular
244016269,crossing,uncontrolled,regular
244016269,highway,crossing,regular
244016563,highway,traffic_signals,regular
244016719,railway,level_crossing,regular
244016951,highway,traffic_signals,regular
244017594,highway,traffic_signals,regular
244017823,bicycle,yes,regular
244017823,crossing,traffic_signals,regular
244017823,highway,crossing,regular
244017870,crossing,traffic_signals,regular
244017870,highway,crossing,regular
244018010,crossing,traffic_signals,regular
244018010,highway,crossing,regular
244018010,source,PNOA,regular
244018010,date,2013,source
244018012,crossing,traffic_signals,regular
244018012,highway,crossing,regular
244018012,source,PNOA,regular
244018012,date,2013,source
244018318,exit_to,Mairena,regular
244018318,highway,motorway_junction,regular
244018318,ref,0B,regular
244018318,source,survey,regular
244018324,exit_to,Tomares;Centro comercial,regular
244018324,highway,motorway_junction,regular
244018324,ref,0A,regular
244018324,source,survey,regular
244018327,maxspeed,80,regular
244018327,source,survey,regular
244018327,traffic_sign,maxspeed,regular
244018328,maxspeed,80,regular
244018328,source,survey,regular
244018328,traffic_sign,maxspeed,regular
244018353,noexit,yes,regular
244018452,exit_to,San Juan de Aznalfarache;Tomares;Mairena,regular
244018452,highway,motorway_junction,regular
244018452,ref,1,regular
244018452,source,survey,regular
244018459,maxspeed,80,regular
244018459,source,survey,regular
244018459,traffic_sign,maxspeed,regular
244018465,exit_to,E-803;SE-30;A-49 Huelva;A-66 Mérida,regular
244018465,highway,motorway_junction,regular
244018465,source,survey,regular
244018468,exit_to,El Manchón;S. Juan Aznalfarache (bajo);Tomares;Camas,regular
244018468,highway,motorway_junction,regular
244018468,ref,15B,regular
244018468,source,survey,regular
244018475,exit_to,Sevilla centro;Los Remedios;Triana;I. La Cartuja,regular
244018475,highway,motorway_junction,regular
244018475,ref,14,regular
244018542,exit_to,"Camas;E-1, A-49 Huelva",regular
244018542,highway,motorway_junction,regular
244018542,ref,17B,regular
244018542,source,survey,regular
244018548,exit_to,Sevilla centro / Patrocinio / I. La Cartuja,regular
244018548,highway,motorway_junction,regular
244018548,ref,17B,regular
244018548,source,survey,regular
244018568,maxspeed,60,regular
244018568,source,survey,regular
