id,lat,lon,user,uid,version,changeset,timestamp
206181305,37.3877044,-5.9909702,Alberto Molina,161725,4,5200770,2010-07-12T17:09:15Z
206181306,37.3878474,-5.9908917,erlenmeyer,875518,5,34040265,2015-09-15T13:10:16Z
206181307,37.3879729,-5.9908759,erlenmeyer,875518,5,34040265,2015-09-15T13:10:16Z
206181309,37.3881846,-5.9909076,cirdancarpintero,2245342,10,54201174,2017-11-30T10:29:56Z
206181312,37.3882956,-5.9909790,Steve Chilton,736,5,640222,2008-10-30T21:42:00Z
206181313,37.3883211,-5.9910925,erlenmeyer,875518,7,34040265,2015-09-15T13:10:16Z
206181316,37.3880069,-5.9903835,BoomEngine,288925,7,80335801,2020-01-30T20:07:19Z
206181318,37.3878617,-5.9901609,BoomEngine,288925,7,80335801,2020-01-30T20:07:19Z
206181321,37.3877225,-5.9899826,cirdancarpintero,2245342,6,54127590,2017-11-27T17:21:37Z
206181324,37.3876208,-5.9898187,cirdancarpintero,2245342,6,54127590,2017-11-27T17:21:37Z
206181329,37.3875777,-5.9895531,BoomEngine,288925,15,80335801,2020-01-30T20:07:19Z
206181331,37.3863289,-5.9911264,erlenmeyer,875518,5,25939077,2014-10-08T13:09:35Z
206181334,37.3863325,-5.9910425,erlenmeyer,875518,6,25939077,2014-10-08T13:09:35Z
206181337,37.3866510,-5.9911174,erlenmeyer,875518,7,25939077,2014-10-08T13:09:35Z
206181340,37.3865898,-5.9909679,erlenmeyer,875518,6,25939077,2014-10-08T13:09:35Z
206181344,37.3864746,-5.9907905,erlenmeyer,875518,7,25939077,2014-10-08T13:09:35Z
206181355,37.3874515,-5.9895379,erlenmeyer,875518,8,29263638,2015-03-05T11:08:21Z
206181365,37.3880106,-5.9896070,BoomEngine,288925,10,80335801,2020-01-30T20:07:19Z
206181368,37.3882803,-5.9896578,cirdancarpintero,2245342,9,54126593,2017-11-27T16:42:24Z
206181371,37.3884933,-5.9896941,cirdancarpintero,2245342,14,54126593,2017-11-27T16:42:24Z
206181373,37.3880949,-5.9905758,cirdancarpintero,2245342,7,54127590,2017-11-27T17:21:37Z
206181376,37.3882033,-5.9904149,Alberto Molina,161725,4,5200770,2010-07-12T17:09:12Z
206181378,37.3883153,-5.9901681,Alberto Molina,161725,4,5200770,2010-07-12T17:10:05Z
206181392,37.3852982,-5.9914610,erlenmeyer,875518,9,34393733,2015-10-02T17:13:38Z
206181395,37.3854405,-5.9912318,erlenmeyer,875518,14,43614501,2016-11-13T20:02:26Z
206181399,37.3852518,-5.9910701,erlenmeyer,875518,11,21710777,2014-04-15T14:21:22Z
206181403,37.3853993,-5.9909340,erlenmeyer,875518,9,21710777,2014-04-15T14:21:22Z
206181412,37.3855341,-5.9907934,Alberto Molina,161725,6,5200770,2010-07-12T17:10:01Z
206181415,37.3856761,-5.9906952,Alberto Molina,161725,11,5200770,2010-07-12T17:10:21Z
206181419,37.3859224,-5.9907623,Alberto Molina,161725,13,5200770,2010-07-12T17:10:09Z
206181422,37.3856314,-5.9906027,erlenmeyer,875518,8,26365784,2014-10-27T15:02:13Z
206181424,37.3857810,-5.9900977,Alberto Molina,161725,12,5200770,2010-07-12T17:10:11Z
206181427,37.3860102,-5.9902672,Alberto Molina,161725,5,4550245,2010-04-28T15:02:27Z
206181438,37.3858329,-5.9897918,Alberto Molina,161725,8,5200770,2010-07-12T17:10:07Z
206181441,37.3859190,-5.9895670,tlacuilo,58410,9,16257936,2013-05-23T20:44:00Z
206181445,37.3860102,-5.9894627,erlenmeyer,875518,12,39710243,2016-06-01T13:02:13Z
206181448,37.3860607,-5.9893377,Ludovic Drouard,1151930,11,31759835,2015-06-06T03:12:30Z
206181450,37.3861987,-5.9890166,erlenmeyer,875518,9,39782069,2016-06-03T15:44:47Z
206181451,37.3863093,-5.9886641,erlenmeyer,875518,9,39782069,2016-06-03T15:44:47Z
206181452,37.3864333,-5.9884614,erlenmeyer,875518,15,39777886,2016-06-03T12:15:38Z
206181453,37.3864645,-5.9884214,erlenmeyer,875518,12,39777886,2016-06-03T12:15:38Z
206181457,37.3863145,-5.9873012,erlenmeyer,875518,25,35555358,2015-11-24T17:03:33Z
206181458,37.3858724,-5.9867131,erlenmeyer,875518,10,17753992,2013-09-09T17:44:34Z
206181459,37.3886758,-5.9898126,cirdancarpintero,2245342,12,54512635,2017-12-10T14:47:45Z
206181460,37.3885601,-5.9896326,cirdancarpintero,2245342,10,54512635,2017-12-10T14:47:45Z
206181463,37.3877268,-5.9887300,cirdancarpintero,2245342,9,54184236,2017-11-29T17:50:16Z
206181464,37.3875764,-5.9885718,BoomEngine,288925,24,80337723,2020-01-30T21:10:14Z
206181469,37.3862495,-5.9901940,ax3l,3302347,9,55074393,2018-01-01T12:20:00Z
206181470,37.3861632,-5.9899433,erlenmeyer,875518,5,39710243,2016-06-01T13:02:14Z
206181472,37.3860661,-5.9895639,erlenmeyer,875518,4,39710243,2016-06-01T13:02:14Z
206181473,37.3855193,-5.9899878,Paul The Archivist,82783,10,15914104,2013-04-29T20:52:54Z
206181474,37.3851318,-5.9897290,erlenmeyer,875518,12,25104622,2014-08-29T19:33:42Z
206181475,37.3849837,-5.9899458,erlenmeyer,875518,14,25104622,2014-08-29T19:33:42Z
206181478,37.3857455,-5.9895111,Alberto Molina,161725,8,5200770,2010-07-12T17:10:02Z
206181479,37.3855931,-5.9893882,Alberto Molina,161725,7,5200770,2010-07-12T17:09:33Z
206181480,37.3854511,-5.9892617,erlenmeyer,875518,9,35593224,2015-11-26T15:19:31Z
206181481,37.3851588,-5.9891034,erlenmeyer,875518,9,28885737,2015-02-16T13:28:52Z
206181482,37.3851600,-5.9890547,erlenmeyer,875518,8,28885737,2015-02-16T13:28:53Z
206181485,37.3852250,-5.9897912,erlenmeyer,875518,12,35593224,2015-11-26T15:19:31Z
206181487,37.3870634,-5.9891712,cirdancarpintero,2245342,7,54400245,2017-12-06T12:55:37Z
206181491,37.3875380,-5.9891461,Alberto Molina,161725,5,5200770,2010-07-12T17:09:47Z
206181492,37.3875851,-5.9888261,Alberto Molina,161725,5,5200770,2010-07-12T17:10:20Z
206181493,37.3876516,-5.9886596,BoomEngine,288925,12,80337723,2020-01-30T21:10:14Z
206181494,37.3857089,-5.9890096,erlenmeyer,875518,6,34842684,2015-10-24T15:21:36Z
206181495,37.3857433,-5.9889167,Alberto Molina,161725,5,5200770,2010-07-12T17:09:25Z
206181496,37.3855295,-5.9887593,erlenmeyer,875518,6,34842684,2015-10-24T15:21:36Z
206181497,37.3852276,-5.9885774,erlenmeyer,875518,8,39733432,2016-06-02T12:46:56Z
206181498,37.3852887,-5.9884259,erlenmeyer,875518,11,39733432,2016-06-02T12:46:56Z
206181499,37.3852101,-5.9883035,erlenmeyer,875518,14,39733432,2016-06-02T12:46:56Z
206181500,37.3850716,-5.9884922,erlenmeyer,875518,9,34870360,2015-10-25T22:57:13Z
206181501,37.3851899,-5.9886043,erlenmeyer,875518,8,39733432,2016-06-02T12:46:56Z
206358251,37.3844671,-5.9922732,erlenmeyer,875518,8,43614501,2016-11-13T20:02:26Z
206358258,37.3841973,-5.9900837,Porphyrion,706159,5,42451550,2016-09-26T17:26:29Z
206358289,37.3817091,-5.9886482,erlenmeyer,875518,5,34842684,2015-10-24T15:21:36Z
206358291,37.3819000,-5.9891604,erlenmeyer,875518,12,34849787,2015-10-24T21:35:26Z
206358298,37.3884489,-5.9892042,mor,220932,17,48031424,2017-04-22T12:40:08Z
206358300,37.3887321,-5.9888000,cirdancarpintero,2245342,7,54513843,2017-12-10T15:32:49Z
