id,node_id,position
18938044,3857791726,2
18938044,3857791722,3
18938044,3857791719,4
18938044,5034742962,5
18938044,4294357636,6
18938044,5034742956,7
18938044,3857791721,8
18938044,1342065895,9
18938044,3857791725,10
18938044,3857791729,11
18938044,195970140,12
18938044,3857791731,13
18938044,3857791735,14
18938044,3857791734,15
18938044,440230342,16
18939338,192009475,0
18939338,710633000,1
18939338,7170386805,2
18939466,195982576,0
18939466,308836571,1
18939655,2589299581,0
18939655,6924727929,1
18939655,6924727941,2
18939655,4420225735,3
18939655,195984062,4
18939655,195984061,5
18939655,195984058,6
18939655,195984057,7
18939655,195984056,8
18939655,195984054,9
18939655,195984052,10
18939655,195984050,11
18939655,3145581618,12
18939655,195979459,13
18939724,195984650,0
18939724,4420225664,1
18939724,3129406127,2
18939724,195984052,3
18939795,2085744466,0
18939795,4420225723,1
18939795,2582629396,2
18939795,195985306,3
18939795,195985308,4
18939795,195984062,5
18939952,195979461,0
18939952,195986620,1
18939952,195986621,2
18939952,3149402137,3
18939952,195986622,4
18939952,195987188,5
18940032,3749082934,0
18940032,4420225614,1
18940032,197992436,2
18940032,197992437,3
18940032,195979462,4
18940066,195984061,0
18940066,195986625,1
18940306,195991151,0
18940306,195991528,1
18940306,195991529,2
18940336,195992448,0
18940336,195992447,1
18940336,3744143764,2
18940336,195992446,3
18940336,813726763,4
18940336,813726792,5
18940377,195986628,0
18940377,195992972,1
18940377,195992975,2
18945548,5153085334,0
18945548,5153085335,1
18945548,5153085336,2
18945548,5153085337,3
18945548,5153085338,4
18945548,5153085339,5
18945548,192050989,6
18945548,813726679,7
18945548,4427495751,8
18945548,196070069,9
18945609,196070859,0
18945609,196070861,1
18945609,192042753,2
18945609,4334201953,3
18945609,436382104,4
18945609,192042759,5
18945752,191238720,0
18945752,3744238197,1
18945752,196072505,2
18945752,3744238131,3
18945752,196072094,4
18946006,196076257,0
18946006,5003001785,1
18946006,5003001784,2
18946006,196076949,3
18946123,196078867,0
18946123,196079272,1
18946123,196079273,2
18946123,196079276,3
18946123,196079277,4
18946123,196079279,5
18946123,196079280,6
18946123,192042752,7
18946143,196079608,0
18946143,5003001821,1
18946143,196079277,2
18946341,196083196,0
18946341,440238138,1
18946341,4294357589,2
18946341,4294357591,3
18946341,196083440,4
18946341,4294357598,5
18946341,813726692,6
18946579,1542614832,0
18946579,7123426959,1
18946579,1542614828,2
18946579,5251968326,3
18946579,5251968324,4
18946579,5251968323,5
18946579,5251967414,6
18946579,196085916,7
18946579,5251968337,8
18946579,5251968345,9
18946579,2077803413,10
18946579,196085915,11
18946579,2077803378,12
18946579,4291083601,13
18946579,814340936,14
18946579,814340946,15
18946579,4291083555,16
18946579,4291083509,17
18946579,4291083501,18
18946579,196085026,19
18946579,4279917021,20
18946579,1343003499,21
18946579,1343003496,22
18946579,192032141,23
18946579,4279916908,24
18946579,4279916911,25
18946579,4334202304,26
18946579,4334202302,27
18946579,192042759,28
18946579,2286213445,29
18946579,2286213444,30
18946579,192032144,31
18946579,192040954,32
18946579,192040133,33
18946579,4291083470,34
18946579,307760032,35
18946579,192021715,36
18946579,4291083494,37
18946579,4296675578,38
18946579,3156228573,39
18946579,4296675633,40
18946579,4296675645,41
18946579,4296675667,42
18946579,4296675681,43
18946579,4296675698,44
18946579,4296675705,45
18946579,196085919,46
18946579,2077803422,47
18946579,2077803421,48
18946579,4296675796,49
18946579,196085918,50
18946579,4296675803,51
18946579,4296675799,52
18946579,1542614832,53
18977862,192002184,0
18977862,2320111966,1
18977862,192012035,2
18977862,4294355888,3
18977862,813726845,4
18977862,192012036,5
18977862,196083196,6
18977862,813726703,7
18980244,710632996,0
18980244,3856619790,1
18980244,3086488440,2
18980244,244011863,3
18980244,710633004,4
18980244,1424593542,5
19095773,195986629,0
19095773,6924727920,1
19095773,4420225802,2
19095773,3747708969,3
19095774,197992425,0
19095774,3118370878,1
19095774,197992446,2
19095778,192016414,0
19095778,197992488,1
19095778,197992499,2
19095780,197992502,0
19095780,197992509,1
19095780,3749065526,2
19095780,197992520,3
19095780,5153085340,4
19095782,197992541,0
19095782,4142206606,1
19095782,4142206604,2
19095782,773330862,3
19095782,197992552,4
19095782,197992556,5
19095782,6312732594,6
19095782,206396297,7
19095782,196085915,8
19095784,436382104,0
19095784,197992569,1
19095784,244030454,2
19095784,197992574,3
19095784,192030329,4
19095786,436382110,0
19095786,3762983116,1
19095786,197992585,2
19095786,197992590,3
19095786,197992580,4
19095786,196070859,5
19095787,4334201860,0
19095787,197992592,1
19095787,197992599,2
19095788,192016416,0
19095788,197992603,1
19095788,3756505565,2
